Category,Subcategory,Task,L1A,L1B,L1C,L2
Endpoint Support - Windows,Operating System,DISM repair,❌,❌,❌,✅
Endpoint Support - Windows,Operating System,Windows in-place upgrade,❌,❌,❌,✅
Endpoint Support - Windows,Operating System,BSOD troubleshooting,❌,❌,⚠️,✅
Endpoint Support - Windows,Operating System,Windows Activation troubleshooting,❌,🟡,✅,✅
Endpoint Support - Windows,Operating System,Windows performance troubleshooting,❌,🟡,✅,✅
Endpoint Support - Windows,VPN & Networking,VPN connection - re-download profile,✅,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,VPN connection - verify credentials,✅,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,VPN troubleshooting (client-side),🟡,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,VPN troubleshooting (server-side),❌,❌,❌,✅
Endpoint Support - Windows,VPN & Networking,ipconfig commands (ipconfig /all /release /renew),🟡,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,ping tracert basic usage,🟡,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,nslookup DNS troubleshooting,❌,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,Flush DNS cache,🟡,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,Wi-Fi connectivity troubleshooting,✅,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,Wi-Fi forget/re-add network,✅,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,Ethernet connectivity troubleshooting,🟡,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,Network adapter reset,❌,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,Network adapter driver update,❌,🟡,✅,✅
Endpoint Support - Windows,VPN & Networking,DHCP issues (client-side),❌,✅,✅,✅
Endpoint Support - Windows,VPN & Networking,DHCP issues (server-side),❌,❌,❌,✅
Endpoint Support - Windows,VPN & Networking,Static IP configuration,❌,🟡,✅,✅
Endpoint Support - Windows,Mapped Drives & File Shares,Mapped drive not connecting - reconnect,✅,✅,✅,✅
Endpoint Support - Windows,Mapped Drives & File Shares,Mapped drive credential issues,✅,✅,✅,✅
Endpoint Support - Windows,Mapped Drives & File Shares,Create new mapped drive,🟡,✅,✅,✅
Endpoint Support - Windows,Mapped Drives & File Shares,UNC path access issues,❌,✅,✅,✅
Endpoint Support - Windows,Mapped Drives & File Shares,File share permissions troubleshooting,❌,⚠️,⚠️,✅
Endpoint Support - Windows,Mapped Drives & File Shares,DFS namespace access issues,❌,❌,⚠️,✅
Endpoint Support - Windows,Printers,Add network printer (from directory),✅,✅,✅,✅
Endpoint Support - Windows,Printers,Add network printer (by IP address),🟡,✅,✅,✅
Endpoint Support - Windows,Printers,Install printer driver (from catalog),✅,✅,✅,✅
Endpoint Support - Windows,Printers,Install printer driver (custom/download),❌,🟡,✅,✅
Endpoint Support - Windows,Printers,Clear print queue,✅,✅,✅,✅
Endpoint Support - Windows,Printers,Restart print spooler service,❌,✅,✅,✅
Endpoint Support - Windows,Printers,Set default printer,✅,✅,✅,✅
Endpoint Support - Windows,Printers,Printer offline troubleshooting,🟡,✅,✅,✅
Endpoint Support - Windows,Printers,Printer not printing - basic troubleshooting,🟡,✅,✅,✅
Endpoint Support - Windows,Printers,Printer not printing - advanced troubleshooting,❌,⚠️,✅,✅
Endpoint Support - Windows,Printers,Scan to email/network folder setup,❌,🟡,✅,✅
Endpoint Support - Windows,Printers,Multi-function printer troubleshooting,❌,🟡,✅,✅
Endpoint Support - Windows,Printers,Print server issues,❌,❌,❌,✅
Endpoint Support - Windows,Printers,Group Policy printer deployment,❌,❌,❌,✅
Endpoint Support - macOS,macOS Operating System,macOS VPN configuration,🟡,✅,✅,✅
Endpoint Support - macOS,macOS Operating System,macOS printer setup,🟡,✅,✅,✅
Endpoint Support - macOS,macOS Operating System,Microsoft Office installation (Mac),🟡,✅,✅,✅
Endpoint Support - macOS,macOS Operating System,Keychain password issues (basic),❌,🟡,✅,✅
Endpoint Support - macOS,macOS Operating System,Keychain password issues (advanced),❌,❌,⚠️,✅
Endpoint Support - macOS,macOS Operating System,macOS update troubleshooting,❌,🟡,✅,✅
Endpoint Support - macOS,macOS Operating System,macOS performance issues,❌,🟡,✅,✅
Endpoint Support - macOS,macOS Operating System,macOS application troubleshooting,❌,🟡,✅,✅
Endpoint Support - macOS,macOS Operating System,macOS Disk Utility basics,❌,🟡,✅,✅
Endpoint Support - macOS,macOS Operating System,macOS Safe Mode boot,❌,🟡,✅,✅
Endpoint Support - macOS,macOS Operating System,macOS permissions repair,❌,❌,🟡,✅
Mobile Device Support,iOS Devices,Email configuration (Outlook app),✅,✅,✅,✅
Mobile Device Support,iOS Devices,Email configuration (iOS Mail app),✅,✅,✅,✅
Mobile Device Support,iOS Devices,Wi-Fi troubleshooting,✅,✅,✅,✅
Mobile Device Support,iOS Devices,MDM enrollment (Company Portal),🟡,✅,✅,✅
Mobile Device Support,iOS Devices,MDM enrollment troubleshooting,❌,⚠️,✅,✅
Mobile Device Support,iOS Devices,App installation from Company Portal,✅,✅,✅,✅
Mobile Device Support,iOS Devices,iOS troubleshooting (restart network reset),✅,✅,✅,✅
Mobile Device Support,iOS Devices,DEP/ABM enrollment issues,❌,❌,❌,✅
Mobile Device Support,iOS Devices,iOS compliance policy issues,❌,❌,⚠️,✅
Mobile Device Support,Android Devices,Email configuration (Outlook app),✅,✅,✅,✅
Mobile Device Support,Android Devices,Email configuration (Gmail app),✅,✅,✅,✅
Mobile Device Support,Android Devices,Wi-Fi troubleshooting,✅,✅,✅,✅
Mobile Device Support,Android Devices,MDM enrollment (Company Portal),🟡,✅,✅,✅
Mobile Device Support,Android Devices,MDM enrollment troubleshooting,❌,⚠️,✅,✅
Mobile Device Support,Android Devices,App installation from Company Portal,✅,✅,✅,✅
Mobile Device Support,Android Devices,Android troubleshooting (restart cache clear),✅,✅,✅,✅
Mobile Device Support,Android Devices,Android compliance policy issues,❌,❌,⚠️,✅
Intune & MDM,Device Management,Check device compliance status,❌,✅,✅,✅
Intune & MDM,Device Management,Explain compliance policy requirements,❌,✅,✅,✅
Intune & MDM,Device Management,Company Portal - re-sync device,❌,✅,✅,✅
Intune & MDM,Device Management,Company Portal - reinstall,❌,✅,✅,✅
Intune & MDM,Device Management,Check app assignment in Intune,❌,✅,✅,✅
Intune & MDM,Device Management,Trigger device sync from Intune portal,❌,🟡,✅,✅
Intune & MDM,Device Management,Intune policy assignment verification,❌,🟡,✅,✅
Intune & MDM,Device Management,Troubleshoot Intune enrollment failures,❌,⚠️,✅,✅
Intune & MDM,Device Management,Intune compliance policy troubleshooting,❌,❌,⚠️,✅
Intune & MDM,Device Management,Create/modify Intune policies,❌,❌,❌,✅
Intune & MDM,Device Management,Intune app deployment,❌,❌,❌,✅
Intune & MDM,Device Management,Windows Autopilot troubleshooting,❌,❌,❌,✅
Group Policy & Active Directory,Group Policy,Run gpresult /r,❌,✅,✅,✅
Group Policy & Active Directory,Group Policy,Run gpupdate /force,❌,✅,✅,✅
Group Policy & Active Directory,Group Policy,Identify conflicting GPOs,❌,🟡,✅,✅
Group Policy & Active Directory,Group Policy,Document GPO impact for escalation,❌,✅,✅,✅
Group Policy & Active Directory,Group Policy,Create/modify Group Policy,❌,❌,❌,✅
Group Policy & Active Directory,Group Policy,Group Policy troubleshooting (advanced),❌,❌,⚠️,✅
Group Policy & Active Directory,Active Directory,Check user properties in AD,❌,✅,✅,✅
Group Policy & Active Directory,Active Directory,Check computer properties in AD,❌,✅,✅,✅
Group Policy & Active Directory,Active Directory,Verify group membership,❌,✅,✅,✅
Group Policy & Active Directory,Active Directory,Add user to security group (standard),❌,✅,✅,✅
Group Policy & Active Directory,Active Directory,Move computer object between OUs,❌,❌,🟡,✅
Group Policy & Active Directory,Active Directory,Unlock AD account,✅,✅,✅,✅
Group Policy & Active Directory,Active Directory,Reset AD password,✅,✅,✅,✅
Group Policy & Active Directory,Active Directory,Enable/disable AD account,❌,✅,✅,✅
Software Applications,Line-of-Business Applications,Verify user has access to LOB app,🟡,✅,✅,✅
Software Applications,Line-of-Business Applications,Check LOB app license/subscription,❌,🟡,✅,✅
Software Applications,Line-of-Business Applications,Basic LOB app troubleshooting,❌,🟡,✅,✅
Software Applications,Line-of-Business Applications,LOB app configuration changes,❌,❌,❌,✅
Software Applications,Line-of-Business Applications,LOB app error investigation,❌,⚠️,⚠️,✅
Software Applications,Adobe Creative Cloud,Adobe Acrobat Reader installation,✅,✅,✅,✅
Software Applications,Adobe Creative Cloud,Adobe Acrobat Reader basic support,✅,✅,✅,✅
Software Applications,Adobe Creative Cloud,Adobe Acrobat Pro installation,❌,✅,✅,✅
Software Applications,Adobe Creative Cloud,Adobe Acrobat Pro licensing,❌,✅,✅,✅
Software Applications,Adobe Creative Cloud,Adobe Creative Cloud app installation,❌,✅,✅,✅
Software Applications,Adobe Creative Cloud,Adobe Creative Cloud licensing,❌,🟡,✅,✅
Software Applications,Adobe Creative Cloud,Adobe Creative Cloud troubleshooting,❌,🟡,✅,✅
Software Applications,Web Browsers,Clear browser cache,✅,✅,✅,✅
Software Applications,Web Browsers,Reset browser settings,✅,✅,✅,✅
Software Applications,Web Browsers,Set default browser,✅,✅,✅,✅
Software Applications,Web Browsers,Browser extension troubleshooting,🟡,✅,✅,✅
Software Applications,Web Browsers,Browser profile corruption,❌,✅,✅,✅
Software Applications,Web Browsers,Browser policy issues (Edge/Chrome),❌,❌,⚠️,✅
Software Applications,Other Common Applications,Zoom client installation,✅,✅,✅,✅
Software Applications,Other Common Applications,Zoom client troubleshooting,🟡,✅,✅,✅
Software Applications,Other Common Applications,Install software from approved catalog,✅,✅,✅,✅
Software Applications,Other Common Applications,Install custom software (not in catalog),❌,❌,❌,✅
Software Applications,Other Common Applications,Application packaging (MSI MSIX Win32),❌,❌,❌,✅
Security & Compliance,Security Incidents,Phishing email - forward to security team,✅,✅,✅,✅
Security & Compliance,Security Incidents,Phishing email - user guidance,✅,✅,✅,✅
Security & Compliance,Security Incidents,Malware alert - follow runbook,🟡,✅,✅,✅
Security & Compliance,Security Incidents,Malware alert - isolate endpoint,❌,🟡,✅,✅
Security & Compliance,Security Incidents,Suspicious activity - report to security,✅,✅,✅,✅
Security & Compliance,Security Incidents,Compromised account - disable account,❌,🟡,✅,✅
Security & Compliance,Security Incidents,Security incident investigation,❌,❌,⚠️,✅
Security & Compliance,Security Incidents,Ransomware response,❌,❌,❌,✅
Security & Compliance,Antivirus/EDR,Microsoft Defender false positive - allow file,❌,🟡,✅,✅
Security & Compliance,Antivirus/EDR,Microsoft Defender quarantine - restore file,❌,🟡,✅,✅
Security & Compliance,Antivirus/EDR,Microsoft Defender scan - manual trigger,🟡,✅,✅,✅
Security & Compliance,Antivirus/EDR,Microsoft Defender alerts - triage,❌,🟡,✅,✅
Security & Compliance,Antivirus/EDR,Microsoft Defender for Endpoint investigation,❌,❌,⚠️,✅
Security & Compliance,BitLocker,BitLocker recovery key retrieval,❌,🟡,✅,✅
Security & Compliance,BitLocker,BitLocker unlock guidance,❌,🟡,✅,✅
Security & Compliance,BitLocker,BitLocker enable/disable,❌,❌,❌,✅
Security & Compliance,BitLocker,BitLocker policy troubleshooting,❌,❌,❌,✅
Telephony & Communication,3CX Phone System,3CX client installation,❌,✅,✅,✅
Telephony & Communication,3CX Phone System,3CX client login troubleshooting,❌,✅,✅,✅
Telephony & Communication,3CX Phone System,3CX call forwarding setup (user),❌,✅,✅,✅
Telephony & Communication,3CX Phone System,3CX voicemail access,❌,✅,✅,✅
Telephony & Communication,3CX Phone System,3CX extension issues,❌,⚠️,⚠️,✅
Telephony & Communication,3CX Phone System,3CX admin configuration,❌,❌,❌,✅
Telephony & Communication,3CX Phone System,3CX SIP trunk issues,❌,❌,❌,✅
Telephony & Communication,Physical Desk Phones,Desk phone basic troubleshooting (reboot),🟡,✅,✅,✅
Telephony & Communication,Physical Desk Phones,Desk phone configuration (speed dial etc.),❌,🟡,✅,✅
Telephony & Communication,Physical Desk Phones,Desk phone provisioning,❌,❌,❌,✅
Telephony & Communication,Physical Desk Phones,Desk phone network issues,❌,❌,⚠️,✅
Hardware Support,Desktop/Laptop Hardware,Hardware failure identification (basic),🟡,✅,✅,✅
Hardware Support,Desktop/Laptop Hardware,Hardware failure identification (advanced),❌,⚠️,✅,✅
Hardware Support,Desktop/Laptop Hardware,Monitor issues troubleshooting,🟡,✅,✅,✅
Hardware Support,Desktop/Laptop Hardware,Keyboard/mouse troubleshooting,✅,✅,✅,✅
Hardware Support,Desktop/Laptop Hardware,USB device not recognized,🟡,✅,✅,✅
Hardware Support,Desktop/Laptop Hardware,Docking station issues,❌,🟡,✅,✅
Hardware Support,Desktop/Laptop Hardware,Hardware warranty/RMA process,❌,❌,🟡,✅
Hardware Support,Desktop/Laptop Hardware,Hardware upgrade recommendations,❌,❌,🟡,✅
Hardware Support,Peripherals,USB headset troubleshooting,🟡,✅,✅,✅
Hardware Support,Peripherals,Webcam troubleshooting,🟡,✅,✅,✅
Hardware Support,Peripherals,External monitor setup (single),✅,✅,✅,✅
Hardware Support,Peripherals,External monitor setup (dual/triple),❌,✅,✅,✅
Hardware Support,Peripherals,Bluetooth device pairing,🟡,✅,✅,✅
Backup & Recovery,File Recovery,Recover deleted files (Recycle Bin),✅,✅,✅,✅
Backup & Recovery,File Recovery,Recover deleted files (OneDrive),✅,✅,✅,✅
Backup & Recovery,File Recovery,Recover deleted files (SharePoint),❌,🟡,✅,✅
Backup & Recovery,File Recovery,Recover deleted files (file share backup),❌,❌,🟡,✅
Backup & Recovery,File Recovery,Recover previous versions (OneDrive),🟡,✅,✅,✅
Backup & Recovery,File Recovery,Recover previous versions (SharePoint),❌,🟡,✅,✅
Backup & Recovery,Email Recovery,Recover deleted emails (Deleted Items),✅,✅,✅,✅
Backup & Recovery,Email Recovery,Recover deleted emails (Recoverable Items),❌,🟡,✅,✅
Backup & Recovery,Email Recovery,Recover purged emails (retention policy),❌,❌,❌,✅
Remote Support Tools,Remote Access,Initiate remote support session,✅,✅,✅,✅
Remote Support Tools,Remote Access,Remote control desktop (TeamViewer/similar),✅,✅,✅,✅
Remote Support Tools,Remote Access,Remote PowerShell session,❌,❌,❌,✅
Remote Support Tools,Remote Access,Remote registry editing,❌,❌,❌,✅
Ticket & Documentation Management,Ticket Management,Accurate ticket categorization,✅,✅,✅,✅
Ticket & Documentation Management,Ticket Management,Priority assignment (P1/P2/P3/P4),✅,✅,✅,✅
Ticket & Documentation Management,Ticket Management,Detailed ticket documentation,✅,✅,✅,✅
Ticket & Documentation Management,Ticket Management,Escalation with adequate context,✅,✅,✅,✅
Ticket & Documentation Management,Ticket Management,SLA monitoring,✅,✅,✅,✅
Ticket & Documentation Management,Ticket Management,Customer communication (updates),✅,✅,✅,✅
Ticket & Documentation Management,Ticket Management,Knowledge base article reference in tickets,✅,✅,✅,✅
Ticket & Documentation Management,Knowledge Management,Search knowledge base,✅,✅,✅,✅
Ticket & Documentation Management,Knowledge Management,Provide feedback on KB articles,✅,✅,✅,✅
Ticket & Documentation Management,Knowledge Management,Create KB articles,❌,✅,✅,✅
Ticket & Documentation Management,Knowledge Management,Update existing KB articles,❌,✅,✅,✅
Ticket & Documentation Management,Knowledge Management,Peer review KB articles,❌,❌,✅,✅
Training & Mentoring,Team Support,Ask for help from senior team members,✅,✅,✅,✅
Training & Mentoring,Team Support,Assist co-workers with questions,🟡,✅,✅,✅
Training & Mentoring,Team Support,Mentor L1A team members,❌,✅,✅,✅
Training & Mentoring,Team Support,Mentor L1A and L1B team members,❌,❌,✅,✅
Training & Mentoring,Team Support,Conduct peer training sessions,❌,❌,✅,✅
Training & Mentoring,Team Support,Shadow L2 technicians,❌,✅,✅,N/A
Training & Mentoring,Team Support,Review L1A tickets for quality,❌,✅,✅,✅
Project Work,Project Participation,Assist with projects (as directed),🟡,✅,✅,✅
Project Work,Project Participation,User migration support,❌,🟡,✅,✅
Project Work,Project Participation,Desktop rollout support,❌,🟡,✅,✅
Project Work,Project Participation,Application deployment testing,❌,🟡,✅,✅
Project Work,Project Participation,Own small projects (<100 users <2 weeks),❌,❌,❌,✅
Project Work,Project Participation,Own medium projects (<500 users <1 month),❌,❌,❌,✅
